username,repo_name,repo_url,stars
realm,SwiftLint,https://github.com/realm/SwiftLint,16700
facebook,infer,https://github.com/facebook/infer,13600
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,10500
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,8300
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7400
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7300
facebook,pyre-check,https://github.com/facebook/pyre-check,6100
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,5700
detekt,detekt,https://github.com/detekt/detekt,5000
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4500
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4400
PyCQA,pylint,https://github.com/PyCQA/pylint,4300
pmd,pmd,https://github.com/pmd/pmd,4100
phpro,grumphp,https://github.com/phpro/grumphp,3800
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,3800
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2900
kucherenko,jscpd,https://github.com/kucherenko/jscpd,2800
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2400
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2100
uber,piranha,https://github.com/uber/piranha,2000
