username,repo_name,repo_url,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,18600
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,14000
arduino,Arduino,https://github.com/arduino/Arduino,13300
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12800
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,11800
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,10800
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,9600
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8000
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7900
platformio,platformio-core,https://github.com/platformio/platformio-core,6200
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5900
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5500
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3900
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3800
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3600
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3500
olikraus,u8g2,https://github.com/olikraus/u8g2,3400
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3400
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3300
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3000
